"category_code";"category_name";"price";"price_year_prev";"price_year";"price_quarter";"price_growth";"price_growth_unit";"czechia_price_value_prev";"czechia_price_value"
2000001;Kapr živý; Kè / 1 kg;2008;2009;4;2.03;%;80.37;82.0
114201;Mléko polotuèné pasterované; Kè / 1 l;2008;2009;4;-12.97;%;17.58;15.3
112101;Hovìzí maso zadní bez kosti; Kè / 1 kg;2008;2009;4;0.7;%;177.16;178.4
111201;Pšenièná mouka hladká; Kè / 1 kg;2008;2009;4;-28.11;%;12.7;9.13
112401;Kuøata kuchaná celá; Kè / 1 kg;2008;2009;4;-4.54;%;59.65;56.94
111303;Peèivo pšenièné bílé; Kè / 1 kg;2008;2009;4;-36.58;%;53.15;33.71
116101;Pomeranèe; Kè / 1 kg;2008;2009;2;-6.04;%;33.27;31.26
117401;Konzumní brambory; Kè / 1 kg;2008;2009;3;-7.57;%;10.44;9.65
114501;Eidamská cihla; Kè / 1 kg;2008;2009;2;-18.55;%;136.1;110.85
116104;Jablka konzumní; Kè / 1 kg;2008;2009;2;-24.33;%;36.62;27.71
122102;Pøírodní minerální voda uhlièitá; Kè / 1 l;2008;2009;3;0.24;%;8.33;8.35
115101;Máslo; Kè / 1 kg;2008;2009;2;-19.64;%;113.72;91.39
117103;Papriky; Kè / 1 kg;2008;2009;2;-19.26;%;76.05;61.4
114201;Mléko polotuèné pasterované; Kè / 1 l;2008;2009;3;-15.43;%;17.76;15.02
112101;Hovìzí maso zadní bez kosti; Kè / 1 kg;2008;2009;3;1.46;%;176.15;178.73
111201;Pšenièná mouka hladká; Kè / 1 kg;2008;2009;3;-30.62;%;13.65;9.47
112401;Kuøata kuchaná celá; Kè / 1 kg;2008;2009;3;-4.56;%;60.29;57.54
111303;Peèivo pšenièné bílé; Kè / 1 kg;2008;2009;3;-39.22;%;53.83;32.72
116101;Pomeranèe; Kè / 1 kg;2008;2009;1;2.47;%;27.54;28.22
117401;Konzumní brambory; Kè / 1 kg;2008;2009;2;-0.95;%;12.62;12.5
114501;Eidamská cihla; Kè / 1 kg;2008;2009;1;-20.04;%;148.34;118.62
116104;Jablka konzumní; Kè / 1 kg;2008;2009;1;-15.55;%;30.93;26.12
122102;Pøírodní minerální voda uhlièitá; Kè / 1 l;2008;2009;2;-1.08;%;8.31;8.22
115101;Máslo; Kè / 1 kg;2008;2009;1;-22.9;%;122.46;94.42
117103;Papriky; Kè / 1 kg;2008;2009;1;-5.11;%;69.9;66.33
114201;Mléko polotuèné pasterované; Kè / 1 l;2008;2009;2;-11.8;%;17.96;15.84
112101;Hovìzí maso zadní bez kosti; Kè / 1 kg;2008;2009;2;2.4;%;175.7;179.91
111201;Pšenièná mouka hladká; Kè / 1 kg;2008;2009;2;-23.5;%;13.32;10.19
112401;Kuøata kuchaná celá; Kè / 1 kg;2008;2009;2;-5.44;%;61.37;58.03
111303;Peèivo pšenièné bílé; Kè / 1 kg;2008;2009;2;-23.63;%;54.84;41.88
114401;Jogurt bílý netuèný; Kè / 150 g;2008;2009;4;-7.45;%;6.31;5.84
117401;Konzumní brambory; Kè / 1 kg;2008;2009;1;-5.04;%;10.31;9.79
116103;Banány žluté; Kè / 1 kg;2008;2009;4;-6.03;%;27.7;26.03
114701;Vejce slepièí èerstvá; Kè / 10 ks;2008;2009;4;-0.84;%;26.3;26.08
122102;Pøírodní minerální voda uhlièitá; Kè / 1 l;2008;2009;1;-1.33;%;8.29;8.18
117101;Rajská jablka èervená kulatá; Kè / 1 kg;2008;2009;4;-21.37;%;39.49;31.05
115201;Rostlinný roztíratelný tuk; Kè / 1 kg;2008;2009;4;-10.08;%;88.4;79.49
114201;Mléko polotuèné pasterované; Kè / 1 l;2008;2009;1;-9.9;%;18.28;16.47
112101;Hovìzí maso zadní bez kosti; Kè / 1 kg;2008;2009;1;2.95;%;173.85;178.98
111201;Pšenièná mouka hladká; Kè / 1 kg;2008;2009;1;-9.17;%;12.21;11.09
112401;Kuøata kuchaná celá; Kè / 1 kg;2008;2009;1;-4.35;%;61.61;58.93
111303;Peèivo pšenièné bílé; Kè / 1 kg;2008;2009;1;-14.4;%;54.94;47.03
117106;Mrkev; Kè / 1 kg;2008;2009;4;-4.89;%;12.26;11.66
114401;Jogurt bílý netuèný; Kè / 150 g;2008;2009;3;-6.45;%;6.36;5.95
116103;Banány žluté; Kè / 1 kg;2008;2009;3;-1.93;%;27.53;27.0
118101;Cukr krystalový; Kè / 1 kg;2008;2009;4;-5.97;%;20.42;19.2
114701;Vejce slepièí èerstvá; Kè / 10 ks;2008;2009;3;-4.58;%;26.43;25.22
117101;Rajská jablka èervená kulatá; Kè / 1 kg;2008;2009;3;-16.78;%;28.91;24.06
213201;Pivo výèepní, svìtlé, lahvové; Kè / 0,5 l;2008;2009;4;1.32;%;9.08;9.2
115201;Rostlinný roztíratelný tuk; Kè / 1 kg;2008;2009;3;-5.74;%;88.21;83.15
111602;Tìstoviny vajeèné; Kè / 1 kg;2008;2009;4;-0.91;%;30.91;30.63
111101;Rýže loupaná dlouhozrnná; Kè / 1 kg;2008;2009;4;-8.23;%;37.8;34.69
112201;Vepøová peèenì s kostí; Kè / 1 kg;2008;2009;4;-3.66;%;108.73;104.75
