"av_wages_year_prev";"av_wages_year";"av_wages_quarter";"calculation_type";"calculation_code";"industry";"average_wages_growth";"average_wages_value_prev";"average_wages_value"
2013;2014;2;pøepoètenı;200;"Zásobování vodou; èinnosti související s odpady a sanacemi";2.23;23591;24116
2013;2014;1;pøepoètenı;200;Informaèní a komunikaèní èinnosti;5.61;46096;48684
2013;2014;4;pøepoètenı;200;Stavebnictví;1.79;23910;24337
2013;2014;4;pøepoètenı;200;Ostatní èinnosti;2.23;20716;21177
2013;2014;4;pøepoètenı;200;Doprava a skladování;2.11;24440;24955
2013;2014;3;pøepoètenı;200;Profesní, vìdecké a technické èinnosti;2.12;30789;31443
2013;2014;3;pøepoètenı;200;Tìba a dobıvání;-1.91;29925;29354
2013;2014;2;pøepoètenı;200;"Velkoobchod a maloobchod; opravy a údrba motorovıch vozidel";4.18;22807;23760
2013;2014;2;pøepoètenı;200;Kulturní, zábavní a rekreaèní èinnosti;3.67;20445;21196
2013;2014;1;pøepoètenı;200;Administrativní a podpùrné èinnosti;5.72;16236;17164
2013;2014;1;pøepoètenı;200;Zpracovatelskı prùmysl;4.79;23630;24763
2013;2014;1;pøepoètenı;200;Èinnosti v oblasti nemovitostí;4.80;21906;22957
2013;2014;1;pøepoètenı;200;Zemìdìlství, lesnictví, rybáøství;5.13;18052;18978
2013;2014;4;pøepoètenı;200;Informaèní a komunikaèní èinnosti;2.06;47761;48744
2013;2014;3;pøepoètenı;200;Vıroba a rozvod elektøiny, plynu, tepla a klimatiz. vzduchu;-0.43;38399;38234
2013;2014;3;pøepoètenı;200;Zdravotní a sociální péèe;2.08;25183;25707
2013;2014;3;pøepoètenı;200;"Veøejná správa a obrana; povinné sociální zabezpeèení";3.03;26335;27132
2014;2015;2;pøepoètenı;200;Profesní, vìdecké a technické èinnosti;4.20;32312;33669
2014;2015;2;pøepoètenı;200;Tìba a dobıvání;0.06;30844;30863
2014;2015;1;pøepoètenı;200;"Velkoobchod a maloobchod; opravy a údrba motorovıch vozidel";3.11;23249;23971
2014;2015;1;pøepoètenı;200;Kulturní, zábavní a rekreaèní èinnosti;3.10;20468;21103
2014;2015;4;pøepoètenı;200;Zpracovatelskı prùmysl;3.23;27125;28000
2014;2015;4;pøepoètenı;200;Vzdìlávání;0.88;28704;28957
2014;2015;4;pøepoètenı;200;"Zásobování vodou; èinnosti související s odpady a sanacemi";2.99;26864;27666
2014;2015;3;pøepoètenı;200;Informaèní a komunikaèní èinnosti;2.62;47239;48476
2014;2015;2;pøepoètenı;200;Vıroba a rozvod elektøiny, plynu, tepla a klimatiz. vzduchu;-2.42;39522;38566
2014;2015;2;pøepoètenı;200;"Veøejná správa a obrana; povinné sociální zabezpeèení";5.63;27174;28703
2014;2015;1;pøepoètenı;200;Penìnictví a pojišovnictví;-1.69;52257;51376
2014;2015;1;pøepoètenı;200;Ubytování, stravování a pohostinství;4.64;13578;14208
2014;2015;4;pøepoètenı;200;"Velkoobchod a maloobchod; opravy a údrba motorovıch vozidel";5.79;24898;26340
2014;2015;4;pøepoètenı;200;Kulturní, zábavní a rekreaèní èinnosti;4.15;22756;23700
2014;2015;3;pøepoètenı;200;Zemìdìlství, lesnictví, rybáøství;2.28;21644;22138
2014;2015;3;pøepoètenı;200;Administrativní a podpùrné èinnosti;3.99;16938;17613
2014;2015;3;pøepoètenı;200;Èinnosti v oblasti nemovitostí;3.62;21977;22773
2014;2015;2;pøepoètenı;200;Zdravotní a sociální péèe;4.87;25483;26723
2014;2015;2;pøepoètenı;200;Stavebnictví;4.52;22743;23771
2014;2015;2;pøepoètenı;200;Ostatní èinnosti;2.15;20221;20655
2014;2015;2;pøepoètenı;200;Doprava a skladování;2.68;23660;24293
2014;2015;1;pøepoètenı;200;Profesní, vìdecké a technické èinnosti;4.48;31832;33258
2014;2015;1;pøepoètenı;200;Tìba a dobıvání;0.27;29603;29682
2014;2015;4;pøepoètenı;200;Penìnictví a pojišovnictví;2.14;46979;47984
2014;2015;4;pøepoètenı;200;Ubytování, stravování a pohostinství;7.12;14431;15458
2014;2015;3;pøepoètenı;200;Zpracovatelskı prùmysl;3.26;25092;25911
2014;2015;3;pøepoètenı;200;Vzdìlávání;1.84;24736;25191
2014;2015;3;pøepoètenı;200;"Zásobování vodou; èinnosti související s odpady a sanacemi";2.46;23237;23809
2014;2015;2;pøepoètenı;200;Informaèní a komunikaèní èinnosti;1.83;46813;47668
2014;2015;1;pøepoètenı;200;Vıroba a rozvod elektøiny, plynu, tepla a klimatiz. vzduchu;-1.81;42997;42220
2014;2015;1;pøepoètenı;200;"Veøejná správa a obrana; povinné sociální zabezpeèení";3.16;26163;26990
2014;2015;4;pøepoètenı;200;Profesní, vìdecké a technické èinnosti;3.44;34621;35812
2014;2015;4;pøepoètenı;200;Tìba a dobıvání;2.84;35406;36412
2014;2015;3;pøepoètenı;200;"Velkoobchod a maloobchod; opravy a údrba motorovıch vozidel";3.95;23676;24611
2014;2015;3;pøepoètenı;200;Kulturní, zábavní a rekreaèní èinnosti;3.86;20788;21591
2014;2015;2;pøepoètenı;200;Zemìdìlství, lesnictví, rybáøství;2.43;20371;20865
2014;2015;2;pøepoètenı;200;Administrativní a podpùrné èinnosti;1.09;17218;17406
2014;2015;2;pøepoètenı;200;Zpracovatelskı prùmysl;3.08;25826;26622
2014;2015;2;pøepoètenı;200;Èinnosti v oblasti nemovitostí;2.62;22853;23452
2014;2015;1;pøepoètenı;200;Zdravotní a sociální péèe;4.17;24557;25581
2014;2015;1;pøepoètenı;200;Stavebnictví;2.52;21530;22073
2014;2015;1;pøepoètenı;200;Ostatní èinnosti;1.80;19806;20163
2014;2015;1;pøepoètenı;200;Doprava a skladování;1.67;23185;23572
2014;2015;4;pøepoètenı;200;Vıroba a rozvod elektøiny, plynu, tepla a klimatiz. vzduchu;-0.59;43622;43364
2014;2015;4;pøepoètenı;200;"Veøejná správa a obrana; povinné sociální zabezpeèení";5.59;29818;31485
2014;2015;3;pøepoètenı;200;Penìnictví a pojišovnictví;1.74;45054;45838
2014;2015;3;pøepoètenı;200;Ubytování, stravování a pohostinství;7.28;13950;14965
2014;2015;2;pøepoètenı;200;Vzdìlávání;2.40;24459;25046
2014;2015;2;pøepoètenı;200;"Zásobování vodou; èinnosti související s odpady a sanacemi";1.72;24116;24530
2014;2015;1;pøepoètenı;200;Informaèní a komunikaèní èinnosti;2.73;48684;50014
2014;2015;4;pøepoètenı;200;Zdravotní a sociální péèe;4.31;27319;28496
2014;2015;4;pøepoètenı;200;Stavebnictví;5.54;24337;25686
2014;2015;4;pøepoètenı;200;Ostatní èinnosti;3.45;21177;21907
2014;2015;4;pøepoètenı;200;Doprava a skladování;4.76;24955;26144
2014;2015;3;pøepoètenı;200;Profesní, vìdecké a technické èinnosti;4.27;31443;32786
2014;2015;3;pøepoètenı;200;Tìba a dobıvání;3.14;29354;30277
2014;2015;2;pøepoètenı;200;"Velkoobchod a maloobchod; opravy a údrba motorovıch vozidel";3.91;23760;24690
2014;2015;2;pøepoètenı;200;Kulturní, zábavní a rekreaèní èinnosti;2.82;21196;21793
2014;2015;1;pøepoètenı;200;Zemìdìlství, lesnictví, rybáøství;2.21;18978;19397
2014;2015;1;pøepoètenı;200;Administrativní a podpùrné èinnosti;-0.20;17164;17130
2014;2015;1;pøepoètenı;200;Zpracovatelskı prùmysl;1.97;24763;25252
2014;2015;1;pøepoètenı;200;Èinnosti v oblasti nemovitostí;2.71;22957;23579
2014;2015;4;pøepoètenı;200;Informaèní a komunikaèní èinnosti;2.28;48744;49857
2014;2015;3;pøepoètenı;200;Vıroba a rozvod elektøiny, plynu, tepla a klimatiz. vzduchu;-1.50;38234;37660
2014;2015;3;pøepoètenı;200;"Veøejná správa a obrana; povinné sociální zabezpeèení";4.15;27132;28257
2014;2015;2;pøepoètenı;200;Penìnictví a pojišovnictví;1.98;48750;49714
2014;2015;2;pøepoètenı;200;Ubytování, stravování a pohostinství;5.89;13915;14735
2014;2015;1;pøepoètenı;200;Vzdìlávání;2.45;23119;23685
2014;2015;1;pøepoètenı;200;"Zásobování vodou; èinnosti související s odpady a sanacemi";1.23;22757;23037
2014;2015;4;pøepoètenı;200;Zemìdìlství, lesnictví, rybáøství;-0.11;24201;24174
2014;2015;4;pøepoètenı;200;Administrativní a podpùrné èinnosti;3.71;17483;18132
2014;2015;4;pøepoètenı;200;Èinnosti v oblasti nemovitostí;5.05;23265;24439
2014;2015;3;pøepoètenı;200;Zdravotní a sociální péèe;5.23;25707;27052
2014;2015;3;pøepoètenı;200;Stavebnictví;4.71;23179;24271
2014;2015;3;pøepoètenı;200;Ostatní èinnosti;2.62;19955;20478
2014;2015;3;pøepoètenı;200;Doprava a skladování;3.69;23696;24571
2015;2016;2;pøepoètenı;200;Vıroba a rozvod elektøiny, plynu, tepla a klimatiz. vzduchu;3.67;38566;39982
2015;2016;2;pøepoètenı;200;"Veøejná správa a obrana; povinné sociální zabezpeèení";4.77;28703;30073
2015;2016;1;pøepoètenı;200;Penìnictví a pojišovnictví;0.85;51376;51811
2015;2016;1;pøepoètenı;200;Ubytování, stravování a pohostinství;6.73;14208;15164
2015;2016;4;pøepoètenı;200;"Velkoobchod a maloobchod; opravy a údrba motorovıch vozidel";4.50;26340;27524
2015;2016;4;pøepoètenı;200;Kulturní, zábavní a rekreaèní èinnosti;6.66;23700;25279
2015;2016;3;pøepoètenı;200;Zemìdìlství, lesnictví, rybáøství;4.69;22138;23177
2015;2016;3;pøepoètenı;200;Administrativní a podpùrné èinnosti;5.14;17613;18519
2015;2016;3;pøepoètenı;200;Èinnosti v oblasti nemovitostí;5.37;22773;23995
2015;2016;2;pøepoètenı;200;Zdravotní a sociální péèe;3.93;26723;27773
2015;2016;2;pøepoètenı;200;Stavebnictví;4.21;23771;24772
2015;2016;2;pøepoètenı;200;Ostatní èinnosti;3.71;20655;21422
2015;2016;2;pøepoètenı;200;Doprava a skladování;4.29;24293;25334
2015;2016;1;pøepoètenı;200;Profesní, vìdecké a technické èinnosti;3.40;33258;34390
2015;2016;1;pøepoètenı;200;Tìba a dobıvání;2.68;29682;30478
2015;2016;4;pøepoètenı;200;Penìnictví a pojišovnictví;0.39;47984;48170
2015;2016;4;pøepoètenı;200;Ubytování, stravování a pohostinství;5.79;15458;16353
2015;2016;3;pøepoètenı;200;Zpracovatelskı prùmysl;4.94;25911;27191
2015;2016;3;pøepoètenı;200;Vzdìlávání;3.58;25191;26092
2015;2016;3;pøepoètenı;200;"Zásobování vodou; èinnosti související s odpady a sanacemi";3.69;23809;24687
2015;2016;2;pøepoètenı;200;Informaèní a komunikaèní èinnosti;2.30;47668;48764
2015;2016;1;pøepoètenı;200;Vıroba a rozvod elektøiny, plynu, tepla a klimatiz. vzduchu;1.35;42220;42789
2015;2016;1;pøepoètenı;200;"Veøejná správa a obrana; povinné sociální zabezpeèení";5.74;26990;28540
2015;2016;4;pøepoètenı;200;Profesní, vìdecké a technické èinnosti;2.62;35812;36749
2015;2016;4;pøepoètenı;200;Tìba a dobıvání;-4.86;36412;34642
2015;2016;3;pøepoètenı;200;"Velkoobchod a maloobchod; opravy a údrba motorovıch vozidel";5.00;24611;25841
2015;2016;3;pøepoètenı;200;Kulturní, zábavní a rekreaèní èinnosti;6.50;21591;22995
2015;2016;2;pøepoètenı;200;Zemìdìlství, lesnictví, rybáøství;3.98;20865;21696
2015;2016;2;pøepoètenı;200;Administrativní a podpùrné èinnosti;4.85;17406;18250
2015;2016;2;pøepoètenı;200;Èinnosti v oblasti nemovitostí;3.49;23452;24271
2015;2016;1;pøepoètenı;200;Zdravotní a sociální péèe;5.53;25581;26996
2015;2016;1;pøepoètenı;200;Stavebnictví;4.98;22073;23172
2015;2016;1;pøepoètenı;200;Ostatní èinnosti;1.43;20163;20452
2015;2016;1;pøepoètenı;200;Doprava a skladování;5.43;23572;24852
2015;2016;4;pøepoètenı;200;Vıroba a rozvod elektøiny, plynu, tepla a klimatiz. vzduchu;2.08;43364;44267
2015;2016;4;pøepoètenı;200;"Veøejná správa a obrana; povinné sociální zabezpeèení";6.33;31485;33478
2015;2016;3;pøepoètenı;200;Penìnictví a pojišovnictví;3.40;45838;47397
2015;2016;3;pøepoètenı;200;Ubytování, stravování a pohostinství;5.55;14965;15796
2015;2016;2;pøepoètenı;200;Zpracovatelskı prùmysl;4.21;26622;27742
2015;2016;2;pøepoètenı;200;Vzdìlávání;2.08;25046;25568
2015;2016;2;pøepoètenı;200;"Zásobování vodou; èinnosti související s odpady a sanacemi";1.85;24530;24983
2015;2016;1;pøepoètenı;200;Informaèní a komunikaèní èinnosti;2.89;50014;51457
2015;2016;4;pøepoètenı;200;Doprava a skladování;4.15;26144;27228
2015;2016;4;pøepoètenı;200;Zdravotní a sociální péèe;5.11;28496;29953
2015;2016;4;pøepoètenı;200;Stavebnictví;2.58;25686;26349
2015;2016;4;pøepoètenı;200;Ostatní èinnosti;3.66;21907;22709
2015;2016;3;pøepoètenı;200;Profesní, vìdecké a technické èinnosti;3.52;32786;33941
2015;2016;3;pøepoètenı;200;Tìba a dobıvání;-0.26;30277;30197
2015;2016;2;pøepoètenı;200;"Velkoobchod a maloobchod; opravy a údrba motorovıch vozidel";3.96;24690;25667
2015;2016;2;pøepoètenı;200;Kulturní, zábavní a rekreaèní èinnosti;6.54;21793;23218
2015;2016;1;pøepoètenı;200;Zemìdìlství, lesnictví, rybáøství;4.95;19397;20358
2015;2016;1;pøepoètenı;200;Administrativní a podpùrné èinnosti;6.90;17130;18312
2015;2016;1;pøepoètenı;200;Èinnosti v oblasti nemovitostí;3.21;23579;24335
2015;2016;4;pøepoètenı;200;Informaèní a komunikaèní èinnosti;1.30;49857;50507
2015;2016;3;pøepoètenı;200;Vıroba a rozvod elektøiny, plynu, tepla a klimatiz. vzduchu;2.73;37660;38690
2015;2016;3;pøepoètenı;200;"Veøejná správa a obrana; povinné sociální zabezpeèení";5.55;28257;29824
2015;2016;2;pøepoètenı;200;Penìnictví a pojišovnictví;6.69;49714;53038
2015;2016;2;pøepoètenı;200;Ubytování, stravování a pohostinství;5.02;14735;15475
